Name	Set	ImageFile	Type	Attribute	Rarity	Cost	Total Cost	Race	Trait	ATK	DEF	Divinity	Text
Pale Savior	TMS	TMS-011	Spell: Chant-Standby	Light	Common	{W} {2}	3						[Trigger] A J/resonator your opponent controlled dealt damage to you this turn: You may put a light resonator with total cost 4 or less from your hand into your field.
Seal of Shining Bamboo	TMS	TMS-012	Addition: Resonator (Treasury Item)	Light	Common	{W}	1		Treasury Item				Added resonator cannot attack. <br/>{M}: Rest added resonator.
Shining Strike	TMS	TMS-013	Spell: Chant-Instant	Light	Uncommon	{W}	1						Choose one - Rest target resonator. Draw a card; or rest target J/resonator. Draw a card. Choose the second only if your J/ruler has "Kaguya" in its name.
Temple Monk	TMS	TMS-014	Resonator	Light	Common	{W}	1	Bishop		200	400		When this card enters your field, you gain 400 life.
Tristan, the Knight of Sorrow	TMS	TMS-015	Resonator	Light	Uncommon	{W} {2}	3	Knight of the Round Table		600	600		As long as you control another Knight of the Round Table, this card gains [Swiftness]. <br/>Whenever this card attacks, resonators you control gain {+100/0] until end of turn.
Tsukuyomi Noble	TMS	TMS-016	Resonator	Light	Super	{W} {W}	2	Myth/Moon		500	700		Players cannot play activate abilities of resonators they control unless they control a Moon. <br/>[Awakening] {M}: When this card enters your field, destroy target non-Moon addition. If you do, put two [+100/+100] counters on this card.
Veteran Master	TMS	TMS-017	Resonator	Light	Common	{W} {2}	3	Knight		600	600		{Rest}: Target resonator with total cost 2 or less gains [+200/+200] until end of turn.
Athena, Titan of Revenge	TMS	TMS-018	Resonator	Fire	Super	{R} {R} {1}	3	Twelve Apostles		700	700		[Swiftness] (This card can attack and you can play its {Rest} abilities the same turn it enters a field.) <br/>Whenever damage is dealt to you, put two [+100/+100) counters on this card. <br/>{R}: This card deals 100 damage to each player.
Blazing Metropolis, Vell-Savaria	TMS	TMS-019	Addition: Field	Fire	Uncommon	{R} {R} {2}	4						Fire [Spell: Chant] and [Spell: Chant-Instant] cards in your graveyard gain [Remnant]. <br/>If a card would be put into your graveyard from anywhere, remove it from the game instead.
Blessing of Athena	TMS	TMS-020	Addition: Resonator	Fire	Common	{R}	1						Whenever added resonator attacks, it gains [+500/+500] until end of turn and it deals 500 damage to you.
Demonflame	TMS	TMS-021	Spell: Chant-Instant	Fire	Uncommon	{R}	1						Choose one - This card deals 500 damage to target resonator; or destroy target resonator that was dealt damage this turn.
Infernal Spirit of Vell-Savaria	TMS	TMS-022	Resonator	Fire	Common	{R}	1	Spirit		400	400		Whenever this card attacks, it deals 200 damage to you.
Keeper of the Future, Skuld	TMS	TMS-023	Resonator	Fire	Super	{R} {1}	2	Goddess		500	500		When this card enters your field, remove the top two cards of your main deck from the game. This card deals 100 damage multiplied by the combined total cost of the cards removed this way to target J/resonator. <br/>As long as there are ten or more cards in your removed area, this card gains [+300/+300] and [Swiftness].
Keeper of the Past, Urthr	TMS	TMS-024	Resonator	Fire	Rare	{R} {2}	3	Goddess		800	800		When this card enters your field, you may remove up to two cards in your graveyard from the game. If you do, it deals 200 damage multiplied by the combined total cost of the cards removed this way to target J/resonator. <br/>As long as there are ten or more cards in your removed area, this card gains [+300/+300] and [Target Attack].
Keeper of the Present, Verdandi	TMS	TMS-025	Resonator	Fire	Rare	{R}	1	Goddess		10	100		When this card enters your field, you may remove a card in your hand from the game. If you do, draw a card. <br/>As long as there are ten or more cards in your removed area, this card gains [+900/+900] and [First Strike].
Memory of Disappearance	TMS	TMS-026	Spell: Chant	Fire	Rare	{R}	1						Put target card from your removed area into your hand.
Memory of Flame	TMS	TMS-027	Spell: Chant-Standby	Fire	Common	{R} {1}	2						[Trigger] When you play a [Spell: Chant] or [Spell: Chant-Instant] card: If target [Spell: Chant] or [Spell: Chant-Instant] spell would deal damage, it deals that much +600 instead.
Mordred, the Traitor	TMS	TMS-028	Resonator	Fire	Uncommon	{R} {R} {2}	4	Knight of the Round Table		900	900		Whenever this card attacks, you may banish another resonator. If you do, this card deals 1000 damage to target resonator.
Rukh Egg	TMS	TMS-029	Resonator	Fire	Common	{R}	1	Egg		0	200		This card cannot attack. <br/>When this card is put into a graveyard from your field, search your main deck for a fire resonator, reveal it and put it into your hand. Then shuffle your main deck.
Spirit of Certo	TMS	TMS-030	Resonator	Fire	Common	{R} {R} {1}	3	Spirit		900	400		[Swiftness] (This card can attack and play its {Rest} abilities the same turn it enters a field.)
The Observer	TMS	TMS-031,TMS-031J	Ruler	Fire	Rare			Wizard					[Judgment] {R} {R} {12} <br/>You may pay {1} less to play this ability for each card in your removed area.
Timeline Arsonist, Alisaris	TMS	TMS-031J,TMS-031	J-Ruler	Fire	Rare			Wizard		1000	1000		When this card enters your field, search your main deck for a card named "Blazing Metropolis, Vell-Savaria", reveal it and put it into your hand. Then shuffle your main deck. <br/>Resonators you control gain [Swiftness], [Target Attack], and [First Strike]. <br/>God's Art [Total Recall] {R} {R} {2}: This card deals 100 damage to each J/resonator your opponent controls for each card in your removed area. Then you may put any number of cards from your removed area into your graveyard. (Play God's Art [Total Recall] only once per game.)
Time Traveling Emissary	TMS	TMS-032	Resonator	Fire	Common	{R}	1	Wizard		0	400		{Rest}, remove the top card of your main deck from the game: This card deals 200 damage to target resonator.
Torching the Timeline	TMS	TMS-033	Spell: Chant-Instant	Fire	Common	{R}	1						This card deals 100 damage to target resonator for each card in your removed area.
Vell-Savarian Dragon	TMS	TMS-034	Resonator	Fire	Uncommon	{R} {1}	2	Dragon		500	500		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>When this card enters your field, remove the top two cards of your main deck from the game. <br/>Whenever this card attacks, remove the top two cards of your main deck from the game.
Dance of Inspiration	TMS	TMS-035	Spell: Chant-Instant	Water	Common	{U}	1						Target water resonator gains [0/+400] until end of turn. Recover that resonator.
Drill Sergeant	TMS	TMS-036	Resonator	Water	Rare	{U} {2}	3	Human		700	700		Whenever this card attacks or blocks, reveal the top card of your main deck. If it's a resonator, resonators you control gain [+300/+300] until end of turn. Otherwise, return this card to its owner's hand.
Dying Swallow	TMS	TMS-037	Resonator	Water	Uncommon	{U}	1	Fairy Tale		100	100		This card enters your field rested. <br/>{U} {U} {U}, {Rest}: Put this card on top of your main deck. Search your main deck for up to three Fairy Tale resonators, reveal them and put them into your hand. Then shuffle your main deck.
Flower Kingdom	TMS	TMS-038	Addition: Field	Water	Uncommon	{U} {1}	2						Fairy Tale resonators you control gain [+200/+200]. <br/>{U} {1}: Target resonator loses all races and becomes a Fairy Tale until end of turn.
Magic Conductor's Baton	TMS	TMS-039	Addition: Resonator	Water	Common	{U}	1						When this card enters your field, draw a card. <br/>Added resonator gains "{Rest}: Recover another target resonator."
Muse, Celestial of Music	TMS	TMS-040	Resonator	Water	Super	{U} {1}	2	Myth		400	600		When this card enters your field, name a card type. Reveal the top card of your main deck. If it's the named type, put it into your hand. <br/>If a resonator you control would be dealt damage less than its DEF, prevent it.
Musician of Shangri-La	TMS	TMS-041	Resonator	Water	Common	{U}	1	Human		300	300		Whenever this card attacks or blocks, reveal the top card of your main deck. If it's a resonator, this card gains [+200/+200] until end of turn. Otherwise, return this card to its owner's hand.
Peasant Revolt	TMS	TMS-042	Resonator	Water	Common	{U} {1}	2	Human		500	500		When this card enters your field, you may put a water resonator with total cost 1 from your hand into your field.
Prison in the Lunar Lake	TMS	TMS-043	Spell: Chant-Standby	Water	Common	{U} {2}	3						[Trigger] When your opponent plays an automatic ability of a resonator they control that was put into a field from a non-field zone this turn, while you control a water magic stone: Cancel that ability and destroy that resonator.
Puppet Soldier	TMS	TMS-044	Resonator	Water	Common	{U} {1}	2	Human		500	500		Discard a card: This card gains [+200/+200] until end of turn.
Shion's Hymn	TMS	TMS-045	Spell: Chant	Water	Rare	{U} {U} {1}	3						Put target resonator on top of its owner's main deck. Reveal the top card of your main deck. If it's a water resonator with total cost 2 or less, put it into your field. As long as your J-ruler is "Coup d'Etat Mastermind, Shion", you may pay {U} {U} less to play its God's Art abilities this turn.
Songstress of Shangri-La	TMS	TMS-046,TMS-046J	Ruler	Water	Rare			Songstress					[Judgment] {U} {2} <br/>You may look at the top card of your main deck at any time.
Coup d'Etat Mastermind, Shion	TMS	TMS-046J,TMS-046	J-Ruler	Water	Rare			Traitor		900	1000		You may look at the top card of your main deck at any time. <br/>When this card enters your field, reveal the top card of your main deck. If it's a resonator with total cost 5 or less, put it into your field. Otherwise, put it into your hand. <br/>God's Art [Serenade of Rebellion] {U} {U}: This card gains [+500/+500] until end of turn. Then it deals damage equal to its ATK to target J/resonator your opponent controls. (Play God's Art [Serenade of Rebellion] only once per game.)
The Flower Prince	TMS	TMS-047	Resonator	Water	Uncommon	{U} {2}	3	Fairy Tale/Prince		400	400		Other Fairy Tale resonators you control cannot be targeted by spells or abilities your opponent controls. <br/>Rest another recovered Fairy Tale resonator you control: This card gains [0/+200] until end of turn.
Thumbelina	TMS	TMS-048	Resonator	Water	Rare	{U}	1	Fairy Tale		0	600		{Rest}: Put a support counter on this card. <br/>{Rest}: Target J/resonator gains [+200/+200] for each support counter on this card until end of turn. Then remove all support counters from this card.
Valentina, Puppet Monarch	TMS	TMS-049	Resonator	Water	Super	{U} {U} {2}	4	Twelve Apostles/Human		800	800		When this card enters your field, gain control of target resonator your opponent controls as long as this card is in a field.
Valentina's Resistance	TMS	TMS-050	Spell: Chant-Instant	Water	Uncommon	{U} {1}	2						Return target resonator to its owner's hand. Return up to one second target resonator to its owner's hand if this card was awakened. <br/>[Awakening] {U}, discard a card.
Wererabbit of the Aqua Moon	TMS	TMS-051	Resonator	Water	Common	{U} {1}	2	Wererabbit		300	300		When this card enters your field, return target resonator with total cost 2 or less to its owner's hand.
Ambush!	TMS	TMS-052	Spell: Chant-Standby	Wind	Common	{G} {1}	2						[Trigger] When a J/resonator your opponent controls attacks: You may put a wind resonator with total cost 3 or less from your hand into your field.
Avatar of the Seven Lands, Alice	TMS	TMS-053	Resonator	Wind	Super	{G} {G} {G} {3}	6	Avatar		1500	1500		[Quickcast] <br/>[Target Attack] <br/>If damage would be dealt to you, it's dealt to this card instead.
Child of the Forest	TMS	TMS-054	Resonator	Wind	Common	{G} {1}	2	Spirit		300	900		As long as your ruler is "Yggdrasil, the World Tree", this card can block resonators with [Flying] <br/>Prevent all damage that would be dealt to this card by J-rulers.
Foment of the World Tree	TMS	TMS-055	Spell: Chant	Wind	Rare	{G} {G}	2						Put any number of cards from your hand on the bottom of your main deck in any order, then draw that many cards plus one. You gain 800 life.
Heart Stirring Sage	TMS	TMS-056	Resonator	Wind	Uncommon	{G}	1	Human		0	600		{Rest}: Target resonator's ATK becomes equal to its DEF until end of turn.
Huanglong, Leader of the Four Sacred Beasts	TMS	TMS-057	Resonator	Wind	Super	{G} {G} {4}	6	Divine Beast		1000	1000		When this card enters your field, for each different attribute among all wills spent to play this card, search your main deck for a Four Sacred Beasts that shares that attribute and put it into your field. Then shuffle your main deck. <br/>This card gains [+100/+100] for each Four Sacred Beasts you control.
Kujata, Sacred Ox	TMS	TMS-058	Resonator	Wind	Rare	{G} {1}	2	Beast		500	500		[Evolution] {G} {G} {2}. (If there are no evolution counters on this card, put an evolution counter on it.) <br/>As long as there are one or more evolution counters on this card, it gains [+500/+500]. <br/>Whenever an evolution counter is put on this card, this card and target J/resonator your opponent controls deal damage equal to their ATK to each other.
Moonbreeze Elf	TMS	TMS-059	Resonator	Wind	Common	{G}	1	Elf		100	400		This card cannot  be attacked. <br/>{Rest}: Produce {M}.
Pricia's Call to Action	TMS	TMS-060	Spell: Chant-Instant	Wind	Common	{G}	1						You may pay {G} less to play this card if it targets a Beast. <br/>Target resonator gains [Swiftness] and [Target Attack] until end of turn. Draw a card.
Rhythm of Life	TMS	TMS-061	Addition: Resonator	Wind	Common	{G} {G} {1}	3						Added resonator gains [+800/+800]. <br/>When this card is put into a graveyard from your field, put it into its owner's hand.
Servant to the Sacred Moon	TMS	TMS-062	Resonator	Wind	Common	{G} {1}	2	Elf		600	500		{M}: This card gains [0/+400] until end of turn.
